step,epoch,loss,lr,grad_norm,elapsed_s
2,0.004,0.8607999682426453,2.0000000000000002e-07,7.105301856994629,25.14
4,0.008,0.8283973932266235,6.000000000000001e-07,7.385627746582031,26.91
6,0.012,0.663700520992279,1.0000000000000002e-06,5.786416053771973,28.65
8,0.016,0.7692208290100098,1.4000000000000001e-06,7.017250061035156,30.36
10,0.02,0.7204981446266174,1.8000000000000001e-06,5.96703577041626,32.02
12,0.024,0.7404159307479858,2.2e-06,7.0132670402526855,33.66
14,0.028,0.8307375311851501,2.6e-06,7.800968647003174,35.32
16,0.032,0.6897590160369873,3e-06,7.164083480834961,37.01
18,0.036,0.7333077192306519,3.4000000000000005e-06,6.106865406036377,38.69
20,0.04,0.6297019720077515,3.8000000000000005e-06,6.113003730773926,40.37
22,0.044,0.7742741107940674,4.2000000000000004e-06,7.007894515991211,42.11
24,0.048,0.8194169998168945,4.600000000000001e-06,7.7612786293029785,43.85
26,0.052,0.6031628847122192,5e-06,6.206806182861328,45.52
28,0.056,0.6968278288841248,5.400000000000001e-06,7.228895664215088,47.15
30,0.06,0.7380704879760742,5.8e-06,6.7180023193359375,48.77
32,0.064,0.7371188402175903,6.200000000000001e-06,6.463108062744141,50.38
34,0.068,0.733548104763031,6.600000000000001e-06,7.279594898223877,51.97
36,0.072,0.5673539042472839,7e-06,5.715718746185303,53.59
38,0.076,0.5185987949371338,7.4e-06,5.891290187835693,55.04
40,0.08,0.570896565914154,7.800000000000002e-06,5.605483055114746,56.63
42,0.084,0.5654495358467102,8.2e-06,4.499283313751221,58.1
44,0.088,0.4671931564807892,8.6e-06,4.80018424987793,59.76
46,0.092,0.5483353137969971,9e-06,6.524899959564209,61.23
48,0.096,0.46446362137794495,9.4e-06,5.673027515411377,62.9
50,0.1,0.42110657691955566,9.800000000000001e-06,4.65709114074707,64.58
52,0.104,0.4441756308078766,9.977777777777778e-06,4.468748092651367,66.24
54,0.108,0.3347744941711426,9.933333333333334e-06,3.92985463142395,67.98
56,0.112,0.2826530933380127,9.88888888888889e-06,3.1100995540618896,69.56
58,0.116,0.2827768325805664,9.844444444444446e-06,3.014091730117798,71.24
60,0.12,0.3101513385772705,9.800000000000001e-06,2.775747537612915,72.9
62,0.124,0.26884281635284424,9.755555555555556e-06,2.956420660018921,74.58
64,0.128,0.32280468940734863,9.711111111111111e-06,3.1734468936920166,76.28
66,0.132,0.293812096118927,9.666666666666667e-06,2.2719690799713135,77.86
68,0.136,0.2817785143852234,9.622222222222222e-06,2.4353995323181152,79.51
70,0.14,0.292793333530426,9.577777777777779e-06,2.2704274654388428,81.01
72,0.144,0.24784688651561737,9.533333333333334e-06,2.028813123703003,82.66
74,0.148,0.2502951920032501,9.48888888888889e-06,2.759040355682373,84.31
76,0.152,0.27449047565460205,9.444444444444445e-06,2.8329262733459473,85.92
78,0.156,0.29681456089019775,9.4e-06,2.5199882984161377,87.56
80,0.16,0.22687187790870667,9.355555555555557e-06,2.0449466705322266,89.31
82,0.164,0.29584670066833496,9.311111111111112e-06,2.2006893157958984,90.99
84,0.168,0.2794007658958435,9.266666666666667e-06,2.4597489833831787,92.67
86,0.172,0.24001368880271912,9.222222222222224e-06,2.0825107097625732,94.36
88,0.176,0.2722456455230713,9.17777777777778e-06,2.336944818496704,96.01
90,0.18,0.2714387774467468,9.133333333333335e-06,2.1953747272491455,97.79
92,0.184,0.2545173168182373,9.08888888888889e-06,2.2241833209991455,99.37
94,0.188,0.2882113456726074,9.044444444444445e-06,2.694949150085449,101.04
96,0.192,0.25568652153015137,9e-06,2.0745866298675537,102.7
98,0.196,0.28269505500793457,8.955555555555555e-06,2.4417824745178223,104.32
100,0.2,0.22000034153461456,8.91111111111111e-06,2.272238254547119,105.94
102,0.204,0.2619010806083679,8.866666666666668e-06,2.285645008087158,107.59
104,0.208,0.25560712814331055,8.822222222222223e-06,2.1809499263763428,109.27
106,0.212,0.254646360874176,8.777777777777778e-06,2.145416021347046,110.97
108,0.216,0.22691582143306732,8.733333333333333e-06,1.809361219406128,112.68
110,0.22,0.24836692214012146,8.68888888888889e-06,2.151778221130371,114.36
112,0.224,0.2571573257446289,8.644444444444445e-06,2.0879290103912354,116.0
114,0.228,0.24236556887626648,8.6e-06,2.128382921218872,117.61
116,0.232,0.2403184473514557,8.555555555555556e-06,1.9000128507614136,119.09
118,0.236,0.256242573261261,8.511111111111113e-06,2.095508575439453,120.71
120,0.24,0.3085940480232239,8.466666666666668e-06,2.3253612518310547,122.32
122,0.244,0.20250160992145538,8.422222222222223e-06,1.8038655519485474,123.98
124,0.248,0.23254798352718353,8.377777777777779e-06,1.9515703916549683,125.72
126,0.252,0.22101938724517822,8.333333333333334e-06,1.8474152088165283,151.35
128,0.256,0.2569456696510315,8.288888888888889e-06,1.8661812543869019,153.09
130,0.26,0.26537075638771057,8.244444444444444e-06,2.542487382888794,154.81
132,0.264,0.27020832896232605,8.2e-06,2.30547833442688,156.42
134,0.268,0.26274919509887695,8.155555555555556e-06,2.197951555252075,158.12
136,0.272,0.2545827627182007,8.111111111111112e-06,2.139186143875122,159.74
138,0.276,0.2924806475639343,8.066666666666667e-06,2.354483127593994,161.32
140,0.28,0.26727402210235596,8.022222222222222e-06,2.570549488067627,162.93
142,0.284,0.2614421546459198,7.977777777777779e-06,2.0859556198120117,164.6
144,0.288,0.2717643082141876,7.933333333333334e-06,2.596914768218994,166.21
146,0.292,0.2364325225353241,7.88888888888889e-06,1.9920451641082764,167.82
148,0.296,0.2614406943321228,7.844444444444446e-06,2.0272669792175293,169.44
150,0.3,0.2326202392578125,7.800000000000002e-06,1.9320979118347168,171.06
152,0.304,0.27063965797424316,7.755555555555557e-06,2.334530830383301,172.59
154,0.308,0.25602322816848755,7.711111111111112e-06,2.07102632522583,174.06
156,0.312,0.22213593125343323,7.666666666666667e-06,2.085411548614502,175.68
158,0.316,0.2616710662841797,7.622222222222223e-06,2.5012850761413574,177.3
160,0.32,0.24213439226150513,7.5777777777777785e-06,2.1310441493988037,178.77
162,0.324,0.26381224393844604,7.533333333333334e-06,2.3634445667266846,180.42
164,0.328,0.2739463448524475,7.48888888888889e-06,2.3175699710845947,181.93
166,0.332,0.28719568252563477,7.444444444444445e-06,2.3342525959014893,183.55
168,0.336,0.24895069003105164,7.4e-06,2.2045679092407227,185.16
170,0.34,0.21749135851860046,7.3555555555555555e-06,1.8973159790039062,186.78
172,0.344,0.2651693522930145,7.3111111111111125e-06,2.2032735347747803,188.4
174,0.348,0.22613868117332458,7.266666666666668e-06,2.079533815383911,190.0
176,0.352,0.27700990438461304,7.222222222222223e-06,1.9273830652236938,191.61
178,0.356,0.22983957827091217,7.177777777777778e-06,1.9860637187957764,193.35
180,0.36,0.2605920433998108,7.133333333333334e-06,2.492913007736206,194.96
182,0.364,0.2412385642528534,7.0888888888888894e-06,2.273582696914673,196.59
184,0.368,0.22598706185817719,7.044444444444445e-06,2.2919747829437256,198.28
186,0.372,0.2385471761226654,7e-06,2.341275215148926,199.96
188,0.376,0.2704213857650757,6.955555555555557e-06,2.3329203128814697,201.81
190,0.38,0.24966034293174744,6.911111111111112e-06,2.1224117279052734,203.49
192,0.384,0.24704231321811676,6.866666666666667e-06,1.972649335861206,205.18
194,0.388,0.2252867966890335,6.8222222222222225e-06,1.854862928390503,206.84
196,0.392,0.2931429445743561,6.777777777777779e-06,2.454529047012329,208.53
198,0.396,0.23623555898666382,6.733333333333334e-06,1.9965391159057617,210.2
200,0.4,0.25577735900878906,6.688888888888889e-06,2.421358108520508,211.77
202,0.404,0.25849130749702454,6.644444444444444e-06,2.5395333766937256,213.46
204,0.408,0.27148768305778503,6.600000000000001e-06,2.16491436958313,215.15
206,0.412,0.26368916034698486,6.555555555555556e-06,2.1670494079589844,216.82
208,0.416,0.25526535511016846,6.511111111111112e-06,2.264801502227783,218.46
210,0.42,0.2711617350578308,6.466666666666667e-06,2.4377708435058594,220.06
212,0.424,0.2236441969871521,6.422222222222223e-06,1.793564796447754,221.75
214,0.428,0.2736061215400696,6.377777777777778e-06,2.058434009552002,223.45
216,0.432,0.23756884038448334,6.333333333333333e-06,2.006218671798706,225.1
218,0.436,0.2424599528312683,6.28888888888889e-06,2.1024434566497803,226.7
220,0.44,0.23442605137825012,6.2444444444444456e-06,1.8578141927719116,228.32
222,0.444,0.21243971586227417,6.200000000000001e-06,1.8937877416610718,229.92
224,0.448,0.23703701794147491,6.155555555555556e-06,2.4362499713897705,231.58
226,0.452,0.22574728727340698,6.111111111111112e-06,2.016514539718628,233.27
228,0.456,0.2492622435092926,6.066666666666667e-06,2.074446678161621,235.1
230,0.46,0.24270285665988922,6.0222222222222225e-06,2.1719982624053955,236.67
