model,device,threads,queries_per_s,latency_ms_p50,latency_ms_p95,params_m,dim,weights_mb,index_chunks,index_mb_fp32,ndcg@10
e5-small,cpu,6.0,141.5,25.3,33.0,117.7,384,448.8,13809,20.2,0.8019854258241759
e5-small-ru-law,cpu,6.0,145.0,23.2,28.8,117.7,384,448.8,13809,20.2,0.8593102747252747
e5-base,cpu,6.0,48.6,41.9,61.8,278.0,768,1060.7,13809,40.5,0.8217978296703297
USER2-base,cpu,6.0,29.8,57.9,92.6,149.0,768,568.5,13809,40.5,0.8253209203296704
bge-m3,cpu,6.0,14.4,151.7,217.5,567.8,1024,2165.9,13809,53.9,0.8559848076923078
e5-large,cpu,6.0,13.3,158.5,228.6,559.9,1024,2135.9,13809,53.9,0.8587313598901098
FRIDA,cpu,6.0,6.3,270.2,409.9,823.4,1536,3141.1,13809,80.9,0.8782800137362636
Qwen3-Emb-0.6B,cpu,6.0,5.1,340.0,456.2,595.8,1024,1136.4,13809,53.9,0.8429978983516483
