group,base,finetuned,e5-large,FRIDA
test: all questions (n=728),0.8020,0.8593,0.8587,0.8783
test: seen articles (n=293),0.7851,0.8654,0.8668,0.8735
test: unseen articles (n=218),0.7894,0.8474,0.8453,0.8733
"test: unseen codes (SK, ZoZPP) (n=217)",0.8374,0.8631,0.8612,0.8898
test: everyday questions (n=242),0.5694,0.7014,0.7167,0.7637
test: search queries (n=243),0.8962,0.9238,0.9135,0.9357
test: lawyer questions (n=243),0.9394,0.9521,0.9454,0.9350
TK-hard: all (n=716),0.7104,0.8198,0.8202,0.8542
